date_local,company_name,diesel_usd_amount,diesel_usd_litres,diesel_litres_amount,diesel_litres_litres,petrol_usd_amount,petrol_usd_litres,petrol_litres_amount,petrol_litres_litres
2025-09-02,Afritractors Zimbabwe,91.06,60.864599,0.0,0.0,15.0,10.0,0.0,0.0
2025-09-02,Alro Shipping (pvt) Ltd,0.0,0.0,0.0,0.0,29.0,19.594595,0.0,0.0
2025-09-02,Applied Energy Solutions Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Arundel Hospital,80.0,54.054054,0.0,0.0,155.0,102.671081,0.0,0.0
2025-09-02,Askeland Media,74.62,50.418919,0.0,0.0,97.5,65.0,0.0,0.0
2025-09-02,Associated Newspapers of Zimbabwe (PVT),0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0
2025-09-02,Bambanhasi (pvt) Ltd,0.0,0.0,0.0,0.0,25.0,16.447368,0.0,0.0
2025-09-02,Barker Mcccormac,75.38,50.932432,0.0,0.0,77.4,50.986407,0.0,0.0
2025-09-02,Beangie Investments (Pvt),222.0,152.054795,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Bp Global Solutions Zim P/l,950.8,628.676251,0.0,0.0,145.0,95.187924,0.0,0.0
2025-09-02,Brands Africa Private Limited,0.0,0.0,0.0,0.0,75.21,49.941325,0.0,0.0
2025-09-02,Bridging Gaps Foundation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Bulls Power Fuels,0.0,0.0,0.0,0.0,67.0,44.666667,0.0,0.0
2025-09-02,Cangrow Trading (ptv) Ltd,260.28,174.243243,0.0,0.0,213.53,142.353333,0.0,0.0
2025-09-02,Cardence Investments T/A The battery warehouse) ,131.6,90.136986,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Cbz Agro-yield (private) Limited,0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0
2025-09-02,Cedar,0.0,0.0,799.0,799.0,0.0,0.0,0.0,0.0
2025-09-02,Cheese Galore T/a The Cheeseman,49.97,34.226027,0.0,0.0,105.59,69.927368,0.0,0.0
2025-09-02,Cheetah Express Logistics,674.16,448.330694,0.0,0.0,122.15,79.403623,0.0,0.0
2025-09-02,Chinese Parts Solution,0.0,0.0,10.0,10.0,0.0,0.0,12.0,12.0
2025-09-02,"City Glass, a Division of Metal Industries Limited",43.8,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Corecreate Logistics (New),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Corporate24,30.0,20.0,0.0,0.0,145.0,96.27193,0.0,0.0
2025-09-02,Cpg T/a Agrifoods,7.35,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Croco Toyota Kadoma,44.4,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Cuthotels,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Danzim Enterprises,495.0,334.459459,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Decent Transporters (pvt) Ltd,0.0,0.0,0.0,0.0,75.0,50.0,0.0,0.0
2025-09-02,Du-genre Inv T/a Mms Rewind,0.0,0.0,0.0,0.0,19.5,13.0,0.0,0.0
2025-09-02,Duelof T/a Fams,75.0,50.153208,0.0,0.0,45.0,30.0,0.0,0.0
2025-09-02,Eaglewise Generators,279.36,188.469798,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Eaglewise Investments,642.63,431.194838,0.0,0.0,549.2,365.744315,0.0,0.0
2025-09-02,Eaglewise Operations,94.27,63.633703,0.0,0.0,50.0,33.333333,0.0,0.0
2025-09-02,Earlstree Investment,0.0,0.0,0.0,0.0,50.0,32.894737,0.0,0.0
2025-09-02,Ebetia Investments,180.0,121.621622,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Eskill Trading (pvt) Ltd,174.79,117.308725,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Eye Studio,0.0,0.0,0.0,0.0,118.98,79.32,0.0,0.0
2025-09-02,Fe-tatmif T\a Greens Supermarket,0.0,0.0,0.0,0.0,85.0,55.921053,0.0,0.0
2025-09-02,Ferts Seeds and Grain (PVT) LTD,0.0,0.0,290.66,290.66,0.0,0.0,45.0,45.0
2025-09-02,Fidelity Gold Refinery P/L,0.0,0.0,63.2,63.2,0.0,0.0,0.0,0.0
2025-09-02,First Transfer Secretaries,89.13,58.638158,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Forster Irrigation,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-02,Fossil Contracting,0.0,0.0,110.0,110.0,0.0,0.0,235.0,235.0
2025-09-02,Fossil Resources,0.0,0.0,0.0,0.0,85.0,55.921053,0.0,0.0
2025-09-02,Freda Rebecca Gold Mine,0.0,0.0,0.0,0.0,60.0,39.473684,0.0,0.0
2025-09-02,Gateway School Trust,0.0,0.0,0.0,0.0,19.4737,13.157895,0.0,0.0
2025-09-02,Giant Wrap (PVT) LTD,40.0,26.143791,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Gnk Laboratories,0.0,0.0,0.0,0.0,40.0,26.490066,0.0,0.0
2025-09-02,Graniteside Chemicals,54.0,36.986301,0.0,0.0,70.0,46.666667,0.0,0.0
2025-09-02,Green Fuel Private Limited,195.0,130.0,0.0,0.0,46.2,30.0,0.0,0.0
2025-09-02,Greencore Kurima Center,0.0,0.0,0.0,0.0,40.05,26.7,0.0,0.0
2025-09-02,Guard Alert Pvt Ltd,44.0,30.136986,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Halsted Brothers (pvt) Ltd Bulawayo,175.0,119.047619,0.0,0.0,59.0,39.333333,0.0,0.0
2025-09-02,Healing Tree Enterprises T/A Munandy ,0.0,0.0,240.66,240.66,0.0,0.0,0.0,0.0
2025-09-02,Heisten Enterprices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Heritage Tobacco Handlers pvt,58.85,39.233333,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Hobin Services,29.6,20.0,0.0,0.0,60.7,40.466667,0.0,0.0
2025-09-02,I.d.b.z Staff,0.0,0.0,0.0,0.0,0.0,0.0,192.04,192.04
2025-09-02,Idbz Pool,0.0,0.0,39.06,39.06,0.0,0.0,0.0,0.0
2025-09-02,Industrial Development Corporation,62.0,41.891892,0.0,0.0,61.6,40.0,0.0,0.0
2025-09-02,Infradesign Associates,50.0,33.557047,0.0,0.0,103.87,68.598684,0.0,0.0
2025-09-02,Isoquant Investments(pvt) Ltd -zimoco,70.0,47.297298,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Jepnik Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Jesslay Investments (pvt) Ltd,10.0,6.849315,0.0,0.0,50.0,33.333333,0.0,0.0
2025-09-02,Kingdom Blue funerals,425.0645,295.183674,0.0,0.0,254.31,173.0,0.0,0.0
2025-09-02,Kingkold Pvt Ltd,0.0,0.0,0.0,0.0,73.96,48.328947,0.0,0.0
2025-09-02,Koala Park Pvt Ltd,0.0,0.0,0.0,0.0,181.5634,124.131579,0.0,0.0
2025-09-02,Lobels Bread Bulawayo PVT Ltd,26.0,17.605442,0.0,0.0,385.0,256.666667,0.0,0.0
2025-09-02,M.g.b. Roofing (pvt.) Ltd.,50.0,32.679739,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Mainbeam Enterprise Pvt Ltd,0.0,0.0,0.0,0.0,12.6,8.181818,0.0,0.0
2025-09-02,Mass Breed Investments,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
2025-09-02,Meadow Springs Estate,0.0,0.0,0.0,0.0,64.02,42.68,0.0,0.0
2025-09-02,Mediterranean Shipping Company S.a (zimbabwe) (private) Limited,0.38,0.260274,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Melusi Home Designs,0.0,0.0,0.0,0.0,70.0,45.454545,0.0,0.0
2025-09-02,Millar Brothers P/l,75.02,50.013333,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Modus Media Pvt Ltd,121.11,79.809211,0.0,0.0,191.35,125.297377,0.0,0.0
2025-09-02,Mudiwa Farming P/l,0.0,0.0,0.0,0.0,94.0,61.842105,0.0,0.0
2025-09-02,Nash Paints Liter AC,0.0,0.0,100.0,100.0,0.0,0.0,20.0,20.0
2025-09-02,New Avakash,55.0,36.119711,0.0,0.0,186.9,122.732422,0.0,0.0
2025-09-02,Nharo Fabricators,40.0,26.666667,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Nits Zimbabwe Pvt Ltd,0.0,0.0,0.0,0.0,100.0,65.789474,0.0,0.0
2025-09-02,Northern Products,50.0,33.333333,0.0,0.0,30.4,20.0,0.0,0.0
2025-09-02,Northern Tobacco BULK,0.0,0.0,176.43,176.43,0.0,0.0,0.0,0.0
2025-09-02,Novafeed (private) Limited,0.0,0.0,0.0,0.0,73.51,48.637368,0.0,0.0
2025-09-02,O Conolly And Company,0.0,0.0,0.0,0.0,52.5,35.0,0.0,0.0
2025-09-02,One Logistics (Pvt),584.86,398.273973,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Packages Hub PVT LTD,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0
2025-09-02,Pesnat (Liters ACC),0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
2025-09-02,Pharmanova (private) Limited,0.0,0.0,0.0,0.0,151.8,101.129359,0.0,0.0
2025-09-02,Planas Stationery,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0
2025-09-02,Powersave (pvt) Ltd,0.0,0.0,0.0,0.0,71.96,47.342105,0.0,0.0
2025-09-02,Powerspeed Electrical Limited,90.93,61.732877,0.0,0.0,117.21,77.159221,0.0,0.0
2025-09-02,Premium Leaf Zimbabwe (pvt) Ltd,41.94,27.96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Principle Truck Sales ,29.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Progressive Insurance,55.0,37.201182,0.0,0.0,40.8,26.842105,0.0,0.0
2025-09-02,Propertybook pvt,0.0,0.0,0.0,0.0,40.03,26.335526,0.0,0.0
2025-09-02,Prostruct Consulting Engineers,0.0,0.0,0.0,0.0,58.52,38.0,0.0,0.0
2025-09-02,Queen Elizabeth Childrens Home,0.0,0.0,0.0,0.0,40.0,26.666667,0.0,0.0
2025-09-02,Restapedic Manufacturing P/l,53.9706,35.980392,0.0,0.0,187.79,122.571172,0.0,0.0
2025-09-02,Rigger Holdings,35.0,23.333333,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Routewill Marketing (pvt) Limited,90.14,61.739726,0.0,0.0,90.0,59.649122,0.0,0.0
2025-09-02,Royal City Trans and Logistics,329.0,225.342466,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Ruthierman Transport Litre,0.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0
2025-09-02,Salvation Army Usher Institute,67.16,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Sara Transport,320.0,218.622733,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Sealachem (pvt) Ltd,0.0,0.0,0.0,0.0,46.37,30.11039,0.0,0.0
2025-09-02,Seamless Systems Enterprises,0.0,0.0,0.0,0.0,40.0,26.315789,0.0,0.0
2025-09-02,Seapride Foods (private) Limited,0.0,0.0,0.0,0.0,70.0,46.357616,0.0,0.0
2025-09-02,Selected Trucking Private Limited ,50.0,34.246575,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Silver Cab,30.4,20.0,0.0,0.0,71.6,46.493506,0.0,0.0
2025-09-02,Silver Linings Trust,91.0,61.486486,0.0,0.0,100.0,65.741155,0.0,0.0
2025-09-02,Skyaqua t/a Skylake Boreholes,86.4,60.0,0.0,0.0,63.8834,43.164474,0.0,0.0
2025-09-02,Skynet (pvt) Ltd T/a Multichoice Zimbabwe,123.8,83.648649,0.0,0.0,49.58,33.053333,0.0,0.0
2025-09-02,SM Logistics Liters,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0
2025-09-02,Softrite Pvt Ltd,0.0,0.0,0.0,0.0,13.0,8.552632,0.0,0.0
2025-09-02,Spacemount IM,226.71,152.154362,0.0,0.0,116.59,76.703947,0.0,0.0
2025-09-02,Splendidvalue Enterprises,180.0,121.826484,0.0,0.0,50.0,32.467532,0.0,0.0
2025-09-02,St John's College,174.2295,118.52349,0.0,0.0,462.02,304.62728,0.0,0.0
2025-09-02,Suburban Security Solution Litres,0.0,0.0,240.7,240.7,0.0,0.0,57.0,57.0
2025-09-02,Supreme Panel Beaters  (LITERS),0.0,0.0,14.0,14.0,0.0,0.0,123.5,123.5
2025-09-02,Sustainable Agriculture Technology,170.0,112.582781,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Synergy Harare Car Rental,303.72,199.815789,0.0,0.0,172.27,113.798787,0.0,0.0
2025-09-02,Tanrear Enterprises,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Telecontract Pvt Ltd,87.64,60.027397,0.0,0.0,60.0,40.0,0.0,0.0
2025-09-02,The Buffalo Brewing Company,44.4,30.0,0.0,0.0,20.0,13.333333,0.0,0.0
2025-09-02,The Cold Chain,100.0,67.567568,0.0,0.0,50.0,33.333333,0.0,0.0
2025-09-02,The Country Club Liter,0.0,0.0,63.0,63.0,0.0,0.0,50.0,50.0
2025-09-02,The Steel Building Company Private Limited,0.0,0.0,0.0,0.0,100.22,65.077922,0.0,0.0
2025-09-02,THUNDERMAN LOGISTICS Liter,0.0,0.0,212.0,212.0,0.0,0.0,0.0,0.0
2025-09-02,TM Supermarkets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Troutbeck Resort,1618.2,1116.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Twine & Cordage Mnfg Co,0.0,0.0,0.0,0.0,80.01,53.34,0.0,0.0
2025-09-02,Twinstead Investments Pvt Ltd T/a Premier Travel & Tours,0.0,0.0,0.0,0.0,90.8,60.0,0.0,0.0
2025-09-02,Ultraguard Security,0.0,0.0,0.0,0.0,5.0,3.246753,0.0,0.0
2025-09-02,V & S Healthcare Pvt Ltd/ Ta Fivet Animal Health,74.02,50.69863,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Vorset Investments,40.0,26.143791,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,Webtex Pvt Ltd,120.0,78.431372,0.0,0.0,80.0,51.948052,0.0,0.0
2025-09-02,Westville Investments T/a Omni Africa,115.13,77.268456,0.0,0.0,40.67,27.113333,0.0,0.0
2025-09-02,Winsten Precast Private Limited,0.0,0.0,0.0,0.0,45.6,30.0,0.0,0.0
2025-09-02,Wola Africa Pvt Ltd,0.0,0.0,0.0,0.0,20.84,13.532468,0.0,0.0
2025-09-02,Zb Bank,1020.5248,708.906539,0.0,0.0,364.3638,248.723622,0.0,0.0
2025-09-02,Zimcampus ,0.0,0.0,0.0,0.0,50.0,32.894737,0.0,0.0
2025-09-03,Aarzoo Trading Private Limited,0.0,0.0,0.0,0.0,50.0,33.333333,0.0,0.0
2025-09-03,Afri Groan Engineering Services,0.0,0.0,0.0,0.0,23.0,15.231788,0.0,0.0
2025-09-03,Afritractors Zimbabwe,36.0,23.84106,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Amikam Communications,0.0,0.0,0.0,0.0,71.86,47.906666,0.0,0.0
2025-09-03,Applied Energy Solutions Pvt Ltd,0.0,0.0,0.0,0.0,36.0,23.376623,0.0,0.0
2025-09-03,Arundel Hospital,70.75,46.546053,0.0,0.0,160.0,105.960265,0.0,0.0
2025-09-03,Askeland Media,137.05,93.231293,0.0,0.0,35.0,23.333333,0.0,0.0
2025-09-03,Associated Newspapers of Zimbabwe (PVT),0.0,0.0,0.0,0.0,30.2,20.0,0.0,0.0
2025-09-03,Avondale Holdings (private) Limited,0.0,0.0,0.0,0.0,80.3,53.533333,0.0,0.0
2025-09-03,Barker Mcccormac,0.0,0.0,0.0,0.0,60.8,40.0,0.0,0.0
2025-09-03,Bp Global Solutions Zim P/l,1010.0,673.161616,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Brands Africa Private Limited,0.0,0.0,0.0,0.0,114.0,76.0,0.0,0.0
2025-09-03,Bridging Gaps Foundation,510.44,343.21798,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Cangrow Trading (ptv) Ltd,220.58,148.666206,0.0,0.0,46.45,30.966667,0.0,0.0
2025-09-03,Caplaw Enterpises P/L  TA Security Distributors,40.0,27.027027,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Cardence Investments T/A The battery warehouse) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Carefin Trading Pvt Ltd,62.35,42.414966,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Cbz Agro-yield (private) Limited,0.0,0.0,187.0,187.0,0.0,0.0,0.0,0.0
2025-09-03,Cedar,0.0,0.0,2346.0,2346.0,0.0,0.0,0.0,0.0
2025-09-03,Cheese Galore T/a The Cheeseman,0.0,0.0,0.0,0.0,35.0,23.114035,0.0,0.0
2025-09-03,Cheetah Express Logistics,900.0,611.896293,0.0,0.0,147.0,96.826041,0.0,0.0
2025-09-03,Chinese Parts Solution,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0
2025-09-03,Cicada Carbon Pvt Ltd,60.0,39.215686,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,"City Glass, a Division of Metal Industries Limited",191.45,130.197705,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Codeco T/a Codchem,0.0,0.0,0.0,0.0,39.97,25.954546,0.0,0.0
2025-09-03,Commaf Holdings (pvt) Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Corecreate Logistics (New),90.0,61.643836,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Cpg T/a Agrifoods,7.35,5.0,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Cropserve (pvt) Ltd,63.0,43.150685,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Cropserve (pvt) Ltd T/a Cropserve Technology,164.54,110.42953,0.0,0.0,40.0,25.974026,0.0,0.0
2025-09-03,Cuthotels,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Danzim Car Rental,20.0,13.513514,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Danzim Enterprises,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Davis Granite (Gweru),0.0,0.0,0.0,0.0,9.4,6.266667,0.0,0.0
2025-09-03,Decent Transporters (pvt) Ltd,44.7,30.408163,0.0,0.0,2.0,1.333333,0.0,0.0
2025-09-03,Dhl International,79.56,54.122449,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Du-genre Inv T/a Mms Rewind,0.0,0.0,0.0,0.0,35.25,23.5,0.0,0.0
2025-09-03,Duelof T/a Fams,398.84,272.349093,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Duopstone Services T/a Medibest,60.0,40.268456,0.0,0.0,71.46,47.64,0.0,0.0
2025-09-03,Eaglewise Generators,207.6,140.480261,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Eaglewise Investments,372.85,249.969514,0.0,0.0,1105.01,731.384957,0.0,0.0
2025-09-03,Eaglewise Operations,100.0,66.666667,0.0,0.0,132.42,88.053333,0.0,0.0
2025-09-03,Earlstree Investment,0.0,0.0,0.0,0.0,50.0,32.894737,0.0,0.0
2025-09-03,Ebetia Investments,30.0,20.27027,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Ensenada Services T/a Irrigation Supply & Maintenance,101.13,69.267123,0.0,0.0,32.8,21.578947,0.0,0.0
2025-09-03,Fe-tatmif T\a Greens Supermarket,91.2,62.465753,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Ferts Seeds and Grain (PVT) LTD,0.0,0.0,241.35,241.35,0.0,0.0,105.0,105.0
2025-09-03,First Transfer Secretaries,190.15,127.61745,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Flowell Farming T/a Fairhill Farm,16.5,11.0,0.0,0.0,55.02,35.727273,0.0,0.0
2025-09-03,Forster Irrigation,50.0,34.013605,0.0,0.0,20.0,13.333333,0.0,0.0
2025-09-03,Fossil Contracting,0.0,0.0,239.32,239.32,0.0,0.0,220.0,220.0
2025-09-03,Fossil Resources,134.53,90.288591,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Freda Rebecca Gold Mine,161.61,108.662518,0.0,0.0,79.77,52.611842,0.0,0.0
2025-09-03,Goodbook Investments,10.0,6.622517,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Graniteside Chemicals,0.0,0.0,0.0,0.0,20.0,13.333333,0.0,0.0
2025-09-03,Green Fuel Private Limited,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Greencore Kurima Center,105.4,71.703594,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Gryfox Enterprises Private Limited,0.0,0.0,0.0,0.0,53.32,35.078947,0.0,0.0
2025-09-03,Guard Alert Pvt Ltd,131.4,89.178082,0.0,0.0,13.5,9.0,0.0,0.0
2025-09-03,Halsted Brothers (gweru),29.6,20.0,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Halsted Brothers (pvt) Ltd Bulawayo,113.55,77.244898,0.0,0.0,40.0,26.666667,0.0,0.0
2025-09-03,Harakati Logistics,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0
2025-09-03,Harare City Centre Adventist Church,116.4,78.648649,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Healing Tree Enterprises T/A Munandy ,0.0,0.0,61.0,61.0,0.0,0.0,10.0,10.0
2025-09-03,Heisten Enterprices,109.81,73.697987,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,I.d.b.z Staff,0.0,0.0,209.02,209.02,0.0,0.0,358.47,358.47
2025-09-03,Idbz Pool,0.0,0.0,57.95,57.95,0.0,0.0,0.0,0.0
2025-09-03,Industrial Development Corporation,81.41,55.006757,0.0,0.0,40.0,26.490066,0.0,0.0
2025-09-03,Infradesign Associates,107.03,72.317568,0.0,0.0,119.23,78.967105,0.0,0.0
2025-09-03,Isoquant Investments(pvt) Ltd -zimoco,254.5,170.371909,0.0,0.0,388.38,257.389531,0.0,0.0
2025-09-03,It Anywhere Private Limited,0.0,0.0,0.0,0.0,75.4,50.0,0.0,0.0
2025-09-03,Jesslay Investments (pvt) Ltd,190.0,129.309552,0.0,0.0,25.0,16.233766,0.0,0.0
2025-09-03,Jit Labels Pvt Ltd,50.0,33.783784,0.0,0.0,64.5,43.0,0.0,0.0
2025-09-03,Kdb Healthcare P/l,103.47,69.912162,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Kingdom Blue funerals,403.2,280.0,0.0,0.0,502.2206,341.646667,0.0,0.0
2025-09-03,Kingkold Pvt Ltd,100.0,67.567568,0.0,0.0,93.45,61.17054,0.0,0.0
2025-09-03,Koala Park Pvt Ltd,50.4365,35.27027,0.0,0.0,152.482,105.16,0.0,0.0
2025-09-03,Lab Assist Zimbabwe,0.0,0.0,0.0,0.0,150.02,99.223684,0.0,0.0
2025-09-03,Lobels Bread Bulawayo PVT Ltd,147.07,101.799344,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Luach Investments,60.56,40.918919,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Mac Brother Zimbabwe (pvt) Ltd,0.0,0.0,0.0,0.0,146.55,95.162337,0.0,0.0
2025-09-03,Mainbeam Enterprise Pvt Ltd,130.0,88.435374,0.0,0.0,41.24,26.779221,0.0,0.0
2025-09-03,Mass Breed Investments,0.0,0.0,75.0,75.0,0.0,0.0,22.0,22.0
2025-09-03,Meadow Springs Estate,292.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Melusi Home Designs,0.0,0.0,0.0,0.0,70.0,46.052632,0.0,0.0
2025-09-03,Modus Media Pvt Ltd,7.6,5.0,0.0,0.0,91.0,59.736842,0.0,0.0
2025-09-03,Mwenje Technology (pvt) Ltd,30.28,20.322148,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Nash Furnishers,372.6598,257.006757,0.0,0.0,39.2392,26.693333,0.0,0.0
2025-09-03,Nash Paints Liter AC,0.0,0.0,308.67,308.67,0.0,0.0,20.0,20.0
2025-09-03,New Avakash,217.25,143.23419,0.0,0.0,172.29,112.049783,0.0,0.0
2025-09-03,New Start Children's Home,118.8,80.0,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Nharo Fabricators,0.0,0.0,0.0,0.0,20.0,13.245033,0.0,0.0
2025-09-03,Nical Manufacturing Pvt Ltd,0.0,0.0,0.0,0.0,10.0,6.622517,0.0,0.0
2025-09-03,Nits Zimbabwe Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Northern Tobacco BULK,0.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0
2025-09-03,Novafeed (private) Limited,0.0,0.0,0.0,0.0,90.29,59.690701,0.0,0.0
2025-09-03,Nyangani Renewable Energy,0.0,0.0,0.0,0.0,47.33,31.553333,0.0,0.0
2025-09-03,O Conolly And Company,0.0,0.0,0.0,0.0,56.2,37.466667,0.0,0.0
2025-09-03,One Logistics (Pvt),152.0,103.646798,0.0,0.0,42.4,28.648649,0.0,0.0
2025-09-03,Packages Hub PVT LTD,0.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0
2025-09-03,Pakuru Logistics ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Pan Dental Laboratory,0.0,0.0,0.0,0.0,60.26,40.173333,0.0,0.0
2025-09-03,Pharmanova (private) Limited,0.0,0.0,0.0,0.0,58.89,39.26,0.0,0.0
2025-09-03,Plug n Play Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Powerspeed Electrical Limited,363.29,244.627343,0.0,0.0,215.0,142.642247,0.0,0.0
2025-09-03,Premier Corporate Gifts (PVT) Ltd,0.0,0.0,0.0,0.0,20.0,13.333333,0.0,0.0
2025-09-03,Premium Leaf Zimbabwe (pvt) Ltd,79.78,53.905405,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Principle Truck Sales ,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0
2025-09-03,Project 56 Construction P/L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Propertybook pvt,0.0,0.0,0.0,0.0,130.0,85.526316,0.0,0.0
2025-09-03,Prostruct Consulting Engineers,44.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Queen Elizabeth Childrens Home,0.0,0.0,0.0,0.0,43.8,29.2,0.0,0.0
2025-09-03,Real Integrated/Grip Farm,350.0,236.486486,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,Reinforced Steel Contractors Zimbabwe (pvt) Ltd,0.0,0.0,0.0,0.0,57.1,38.066667,0.0,0.0
2025-09-03,Restapedic Manufacturing Operations,0.0,0.0,450.0,450.0,0.0,0.0,0.0,0.0
2025-09-03,Restapedic Manufacturing P/l,0.0,0.0,0.0,0.0,294.71,193.722857,0.0,0.0
2025-09-03,Rigger Holdings,80.0,53.333333,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,River Of Life Church (greystone Park),0.0,0.0,0.0,0.0,68.94,45.96,0.0,0.0
